instance,algorithm,demo_id,iteration,n_customers,n_depots,avg_demand,demand_std,capacity,area_span,density,progress,best_fitness,avg_fitness,fitness_std,convergence_rate,stagnation_counter,population_diversity,elite_ratio,improvement_rate,dynamic_orders,avg_delay,load_imbalance,alpha,beta,gamma,improvement,fitness_after
P-n16-k8,pso,0,36,15,1,16.4,8.138795979750322,35,100,0.01,0.72,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.6759999999999999,0.36800000000000005,0.524,0.0,475.7724340103465
P-n16-k8,pso,0,37,15,1,16.4,8.138795979750322,35,100,0.01,0.74,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.692,0.35600000000000004,0.508,0.0,475.7724340103465
P-n16-k8,pso,0,38,15,1,16.4,8.138795979750322,35,100,0.01,0.76,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.7080000000000001,0.3440000000000001,0.492,0.0,475.7724340103465
P-n16-k8,pso,0,39,15,1,16.4,8.138795979750322,35,100,0.01,0.78,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.7240000000000001,0.3320000000000001,0.476,0.0,475.7724340103465
P-n16-k8,pso,0,40,15,1,16.4,8.138795979750322,35,100,0.01,0.8,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.7400000000000001,0.32000000000000006,0.45999999999999996,0.0,475.7724340103465
P-n16-k8,pso,0,41,15,1,16.4,8.138795979750322,35,100,0.01,0.82,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.756,0.3080000000000001,0.44400000000000006,0.0,475.7724340103465
P-n16-k8,pso,0,42,15,1,16.4,8.138795979750322,35,100,0.01,0.84,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.772,0.29600000000000004,0.42800000000000005,0.0,475.7724340103465
P-n16-k8,pso,0,43,15,1,16.4,8.138795979750322,35,100,0.01,0.86,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.788,0.28400000000000003,0.41200000000000003,0.0,475.7724340103465
P-n16-k8,pso,0,44,15,1,16.4,8.138795979750322,35,100,0.01,0.88,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.804,0.272,0.396,0.0,475.7724340103465
P-n16-k8,pso,0,45,15,1,16.4,8.138795979750322,35,100,0.01,0.9,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.8200000000000001,0.26,0.38,0.0,475.7724340103465
P-n16-k8,pso,0,46,15,1,16.4,8.138795979750322,35,100,0.01,0.92,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.8360000000000001,0.248,0.364,0.0,475.7724340103465
